"6.46 - POPULAÇÃO RESIDENTE, DESEMPREGADA EM SENTIDO RESTRITO, SEGUNDO O GRUPO ETÁRIO, POR NÍVEL DE ESCOLARIDADE E SEXO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Zona Geográfica        ,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 ou mais anos,
Nível de escolaridade e sexo,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,
  Portugal  HM,662180,33390,87186,80904,77933,78586,74253,74279,70290,57088,27988,283,
             H,327600,17831,43187,39070,35807,35968,35140,36548,35838,31752,16352,107,
      Nenhum nível de escolaridade  HM,9392,203,454,604,851,1017,1193,1318,1489,1452,799,12,
                                    H,5295,101,225,294,427,545,669,768,898,885,479,4,
      Ensino básico  HM,384148,16240,30865,30224,35005,44715,49100,53149,53824,47088,23713,225,
                     H,205972,9843,18247,17094,18441,22724,24805,27278,27651,26054,13759,76,
        Ensino básico - 1º ciclo  HM,137575,689,2127,2916,5568,10333,15486,22423,27859,32407,17601,166,
                                  H,77074,430,1371,1772,3233,5752,8569,12211,14901,18445,10342,48,
          Completo  HM,120277,482,1519,2139,4292,8368,13094,19773,24840,29537,16081,152,
                    H,66839,299,993,1309,2468,4570,7122,10626,13111,16735,9560,46,
          Incompleto  HM,13819,162,476,580,1005,1542,1888,2064,2473,2327,1289,13,
                      H,8403,98,301,359,631,982,1180,1290,1507,1403,650,2,
          A frequentar  HM,3479,45,132,197,271,423,504,586,546,543,231,1,
                        H,1832,33,77,104,134,200,267,295,283,307,132,0,
        Ensino básico - 2º ciclo  HM,88785,3017,6687,7115,10177,14223,14779,13235,11553,5585,2388,26,
                                  H,49646,2046,4388,4451,5781,7755,7863,7019,5988,2989,1356,10,
          Completo  HM,72545,2307,5277,5718,8655,11997,12254,10733,9370,4358,1857,19,
                    H,40169,1554,3447,3537,4891,6489,6492,5658,4794,2281,1019,7,
          Incompleto  HM,11322,552,1101,1082,1014,1441,1723,1748,1519,771,365,6,
                      H,7051,397,759,747,648,908,1015,1007,859,470,238,3,
          A frequentar  HM,4918,158,309,315,508,785,802,754,664,456,166,1,
                        H,2426,95,182,167,242,358,356,354,335,238,99,0,
        Ensino básico - 3º ciclo  HM,157788,12534,22051,20193,19260,20159,18835,17491,14412,9096,3724,33,
                                  H,79252,7367,12488,10871,9427,9217,8373,8048,6762,4620,2061,18,
          Completo  HM,112313,8746,16067,14339,13486,13845,12908,12166,10848,7018,2866,24,
                    H,53853,5256,8982,7528,6234,5759,5202,5112,4835,3415,1521,9,
          Incompleto  HM,31371,2327,4520,4478,4050,4144,3876,3603,2330,1408,628,7,
                      H,18707,1398,2705,2693,2421,2516,2236,2147,1326,855,403,7,
          A frequentar  HM,14104,1461,1464,1376,1724,2170,2051,1722,1234,670,230,2,
                        H,6692,713,801,650,772,942,935,789,601,350,137,2,
      Ensino secundário  HM,158039,14453,30657,23204,21940,18464,16029,14325,11105,5735,2103,24,
                         H,70958,6872,15163,10378,9022,7277,6512,6105,5270,3097,1252,10,
        Completo  HM,99525,5363,19275,14792,14227,12511,10727,9284,7629,4144,1556,17,
                  H,41498,2455,9024,6058,5205,4462,4000,3678,3511,2186,910,9,
        Incompleto  HM,33604,2571,6115,5514,5021,3628,3425,3374,2408,1114,428,6,
                    H,17925,1425,3352,2890,2640,1905,1731,1726,1312,671,272,1,
        A frequentar  HM,24910,6519,5267,2898,2692,2325,1877,1667,1068,477,119,1,
                      H,11535,2992,2787,1430,1177,910,781,701,447,240,70,0,
      Ensino pós-secundário  HM,10778,774,3593,2545,1968,1640,258,0,0,0,0,0,
                             H,5370,392,1949,1299,896,715,119,0,0,0,0,0,
        Completo  HM,7552,301,2041,2023,1607,1365,215,0,0,0,0,0,
                  H,3689,169,1076,1022,730,593,99,0,0,0,0,0,
        Incompleto  HM,1575,86,425,385,361,275,43,0,0,0,0,0,
                    H,787,46,238,195,166,122,20,0,0,0,0,0,
        A frequentar  HM,1651,387,1127,137,0,0,0,0,0,0,0,0,
                      H,894,177,635,82,0,0,0,0,0,0,0,0,
      Ensino superior  HM,99823,1720,21617,24327,18169,12750,7673,5487,3872,2813,1373,22,
                       H,40005,623,7603,10005,7021,4707,3035,2397,2019,1716,862,17,
        Bacharelato  HM,9090,0,0,595,1369,1724,1499,1274,1088,1012,516,13,
                     H,3948,0,0,253,554,644,560,534,504,590,299,10,
          Completo  HM,6453,0,0,356,844,1179,1125,951,815,768,407,8,
                    H,2569,0,0,129,298,401,389,364,339,417,226,6,
          Incompleto  HM,2637,0,0,239,525,545,374,323,273,244,109,5,
                      H,1379,0,0,124,256,243,171,170,165,173,73,4,
        Licenciatura  HM,71961,1684,16563,17169,13806,9372,5167,3519,2337,1592,744,8,
                      H,28429,604,5910,6973,5230,3392,2043,1529,1258,991,492,7,
          Completo  HM,44868,0,8042,11492,9721,6566,3558,2293,1549,1080,560,7,
                    H,15129,0,2026,3928,3117,2061,1278,916,789,642,366,6,
          Incompleto  HM,9306,129,1077,1651,1957,1630,956,777,545,415,168,1,
                      H,4947,56,565,874,1026,793,480,403,345,287,117,1,
          A frequentar  HM,17787,1555,7444,4026,2128,1176,653,449,243,97,16,0,
                        H,8353,548,3319,2171,1087,538,285,210,124,62,9,0,
        Mestrado  HM,17558,36,5022,6304,2704,1448,845,574,376,161,87,1,
                  H,7144,19,1687,2689,1132,601,355,276,224,104,57,0,
          Completo  HM,6483,0,1363,2728,942,503,347,256,193,91,60,0,
                    H,2604,0,429,1085,378,217,153,127,117,58,40,0,
          Incompleto  HM,2051,3,200,531,494,354,179,142,86,42,19,1,
                      H,846,1,63,211,189,141,78,67,54,30,12,0,
          A frequentar  HM,9024,33,3459,3045,1268,591,319,176,97,28,8,0,
                        H,3694,18,1195,1393,565,243,124,82,53,16,5,0,
        Doutoramento  HM,1214,0,32,259,290,206,162,120,71,48,26,0,
                      H,484,0,6,90,105,70,77,58,33,31,14,0,
          Completo  HM,403,0,6,47,104,63,56,54,30,26,17,0,
                    H,168,0,1,15,38,18,27,26,16,17,10,0,
          Incompleto  HM,220,0,3,30,39,43,40,26,22,13,4,0,
                      H,96,0,2,9,18,17,19,13,9,7,2,0,
          A frequentar  HM,591,0,23,182,147,100,66,40,19,9,5,0,
                        H,220,0,3,66,49,35,31,19,8,7,2,0,
